ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
38.09375,39.375,21.46875,30.8125,27.84375,7.53125,13.84375,33.5,15.6875,11.84375
37.21875,39.09375,20.9375,31.4375,27.5625,8.03125,14.5625,34.0,14.96875,12.1875
38.71875,39.625,20.3125,31.75,26.25,7.90625,13.90625,33.6875,14.65625,13.1875
38.75,38.5625,21.90625,30.75,26.6875,7.3125,13.5625,34.125,15.96875,12.375
39.6875,38.90625,21.46875,29.84375,27.40625,7.8125,14.28125,33.28125,15.1875,12.125
39.75,40.5,20.9375,29.8125,26.90625,7.5,14.28125,33.53125,15.21875,11.5625
38.125,38.84375,20.6875,30.5625,27.25,7.34375,14.8125,33.78125,16.1875,12.40625
40.0,39.4375,21.03125,29.125,26.84375,7.5625,15.53125,33.0625,14.96875,12.4375
39.28125,39.4375,21.3125,30.8125,27.03125,7.84375,13.71875,33.84375,15.125,11.59375
39.4375,40.0,20.78125,30.34375,27.0,8.125,14.34375,32.875,15.5625,11.53125
38.875,38.625,21.625,31.0625,26.46875,7.78125,14.125,33.75,15.96875,11.71875
37.96875,38.0625,21.375,30.53125,27.0,7.96875,14.25,34.0625,16.09375,12.6875
39.5,39.21875,21.46875,29.71875,27.0,8.21875,14.15625,33.53125,15.15625,12.03125
39.28125,38.46875,21.0625,30.65625,25.84375,8.6875,13.78125,33.09375,16.125,13.0
38.96875,39.4375,21.6875,29.96875,27.1875,7.53125,13.5,34.375,14.9375,12.40625
37.5,39.3125,21.40625,30.0,26.1875,8.125,14.46875,34.15625,16.15625,12.6875
38.28125,39.71875,20.71875,30.375,27.0625,6.78125,15.0625,34.1875,15.625,12.1875
38.375,39.78125,21.5625,29.96875,27.46875,8.0625,13.71875,33.09375,15.625,12.34375
38.84375,39.15625,21.78125,29.46875,27.875,7.875,14.375,33.6875,15.21875,11.71875
39.03125,39.84375,20.5,30.65625,26.46875,7.5,15.78125,33.71875,15.03125,11.46875
38.3125,40.25,21.53125,29.375,27.6875,7.65625,15.46875,32.625,14.90625,12.1875
