ma1,ma2,ma3,ma4,ma5,ma6
5.96875,14.0,7.71875,7.78125,10.8125,11.71875
5.96875,14.28125,8.90625,7.84375,10.25,10.75
7.375,13.6875,8.75,8.375,9.625,10.1875
6.46875,13.90625,8.59375,7.71875,10.21875,11.09375
6.71875,13.75,9.03125,8.34375,9.53125,10.625
6.21875,13.4375,7.96875,8.28125,10.75,11.34375
6.375,13.5625,8.21875,8.1875,11.4375,10.21875
6.5625,13.78125,8.625,8.34375,10.21875,10.46875
6.8125,13.53125,8.25,7.875,10.5625,10.96875
6.46875,14.21875,8.375,7.96875,10.34375,10.625
6.71875,13.5,8.6875,7.3125,11.125,10.65625
6.34375,13.71875,8.78125,8.125,10.53125,10.5
6.21875,13.78125,8.53125,7.59375,10.59375,11.28125
6.96875,13.9375,8.625,7.78125,10.71875,9.96875
6.46875,13.90625,8.34375,8.125,9.75,11.40625
7.09375,13.0625,9.28125,7.8125,9.875,10.875
6.65625,14.25,7.71875,7.53125,10.71875,11.125
6.46875,12.90625,9.3125,8.21875,9.90625,11.1875
6.65625,13.5,8.25,7.9375,10.15625,11.5
5.90625,14.0625,8.84375,7.71875,10.6875,10.78125
6.78125,13.75,8.84375,7.9375,10.9375,9.75
6.1875,14.40625,8.46875,7.5625,10.3125,11.0625
6.84375,14.03125,8.1875,8.0,10.1875,10.75
6.9375,14.625,8.59375,6.9375,10.28125,10.625
7.15625,13.15625,8.71875,8.0,10.25,10.71875
6.75,13.6875,8.1875,7.34375,10.625,11.40625
6.59375,13.8125,8.5,7.75,10.84375,10.5
5.84375,13.5625,8.90625,8.25,9.5625,11.875
5.875,13.28125,9.5625,7.65625,10.40625,11.21875
6.65625,14.1875,8.40625,8.03125,9.96875,10.75
6.84375,13.78125,8.28125,7.53125,11.03125,10.53125
6.59375,13.78125,8.46875,8.0625,9.8125,11.28125
6.15625,14.65625,8.40625,7.59375,9.625,11.5625
6.0625,14.03125,8.96875,7.625,10.75,10.5625
6.8125,12.5,9.0625,7.625,10.53125,11.46875
6.84375,14.09375,8.59375,7.875,10.21875,10.375
6.96875,13.25,8.59375,7.6875,10.5,11.0
6.78125,13.90625,7.875,8.0625,10.65625,10.71875
6.0625,13.375,8.90625,7.96875,10.78125,10.90625
7.5,14.53125,7.4375,7.15625,10.5,10.875
6.875,13.71875,8.53125,8.15625,9.75,10.96875
6.21875,13.71875,8.40625,7.5,10.53125,11.625
6.40625,13.53125,8.78125,8.40625,10.3125,10.5625
