min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
62.0,73.75,90.0,7.137513101799414,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
60.0,72.96875,88.0,7.064779657870531,22,22,0.6875,0.0,0.6875,0.0125,0.0,0.0125,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
57.0,71.34375,90.0,7.041332372929901,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,70.9375,91.0,7.298675949918106,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
60.0,75.34375,91.0,6.9164058931637555,29,29,0.90625,0.0,0.90625,0.01647727272727273,0.0,0.01647727272727273,6,18.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,69.90625,90.0,7.045160305919126,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
57.0,70.71875,88.0,7.04166000103578,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,71.25,95.0,7.26271099713631,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,72.1875,95.0,6.624836937058717,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,8,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
59.0,74.09375,87.0,7.0225257279817015,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
