ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.75,38.84375,13.25,15.125,26.0625,19.59375,25.96875,11.84375,25.125,36.9375,0.0,0.0,5.5,0.0,0.0
22.21875,38.6875,13.125,15.84375,26.65625,19.59375,27.28125,12.15625,23.78125,35.4375,0.0,0.0,5.21875,0.0,0.0
22.625,40.09375,13.84375,15.1875,26.125,19.28125,26.4375,12.0625,23.875,35.375,0.0,0.0,5.09375,0.0,0.0
21.96875,38.5,13.53125,13.84375,26.96875,18.65625,26.6875,12.53125,24.96875,36.96875,0.0,0.0,5.375,0.0,0.0
22.4375,38.625,14.5625,15.25,27.09375,18.625,26.75,12.09375,24.28125,34.96875,0.0,0.0,5.3125,0.0,0.0
21.65625,40.0625,12.53125,15.96875,26.875,18.65625,26.15625,12.75,23.78125,35.875,0.0,0.0,5.6875,0.0,0.0
22.28125,39.53125,13.875,15.53125,26.59375,19.28125,26.375,11.8125,24.125,35.53125,0.0,0.0,5.0625,0.0,0.0
21.96875,39.5,13.71875,14.8125,27.3125,18.84375,25.9375,12.84375,25.0625,34.96875,0.0,0.0,5.03125,0.0,0.0
21.78125,39.53125,13.65625,15.0625,26.78125,18.71875,26.34375,12.3125,25.3125,34.90625,0.0,0.0,5.59375,0.0,0.0
21.6875,38.5625,14.59375,15.375,26.53125,18.8125,26.59375,12.21875,24.96875,35.4375,0.0,0.0,5.21875,0.0,0.0
20.8125,39.6875,13.40625,15.625,27.0,19.21875,26.3125,12.53125,25.09375,35.0625,0.0,0.0,5.25,0.0,0.0
22.125,40.90625,14.90625,14.71875,28.21875,18.65625,25.75,11.5,24.90625,33.53125,0.0,0.0,4.78125,0.0,0.0
22.125,38.90625,14.46875,16.0625,27.0,18.625,26.03125,11.71875,24.59375,34.90625,0.0,0.0,5.5625,0.0,0.0
22.0,38.78125,13.59375,15.125,26.90625,18.84375,27.15625,11.96875,25.09375,35.28125,0.0,0.0,5.25,0.0,0.0
22.21875,38.40625,13.46875,15.25,26.84375,18.9375,26.65625,12.84375,26.03125,34.375,0.0,0.0,4.96875,0.0,0.0
23.1875,38.625,13.90625,15.46875,26.6875,18.4375,26.65625,12.40625,24.3125,34.84375,0.0,0.0,5.46875,0.0,0.0
21.46875,38.34375,14.875,15.5,26.8125,18.96875,25.875,12.65625,25.28125,35.125,0.0,0.0,5.09375,0.0,0.0
21.625,38.21875,14.03125,15.53125,28.125,18.75,25.875,11.9375,25.40625,35.25,0.0,0.0,5.25,0.0,0.0
