ma1,ma2,ma3,ma4,ma5,ma6
9.6875,10.6875,11.96875,6.3125,4.28125,12.0625
9.21875,10.90625,12.09375,5.96875,4.21875,12.59375
9.9375,10.75,11.4375,5.78125,4.5,12.59375
9.40625,11.03125,12.15625,5.875,4.0625,12.46875
9.78125,10.65625,11.96875,6.4375,4.34375,11.8125
9.90625,11.03125,11.75,5.65625,4.09375,12.5625
9.6875,10.4375,11.84375,6.15625,4.3125,12.5625
9.6875,11.0625,11.96875,5.75,4.28125,12.25
10.5,10.625,11.46875,5.6875,4.25,12.46875
9.84375,10.8125,12.0,6.125,3.9375,12.28125
10.0,11.28125,11.8125,5.4375,4.1875,12.28125
9.71875,11.4375,11.6875,5.5,4.0,12.65625
9.6875,11.21875,11.25,5.59375,4.6875,12.5625
9.78125,11.0,11.875,5.96875,4.34375,12.03125
10.21875,10.90625,11.4375,5.6875,4.125,12.625
9.875,10.96875,12.15625,5.375,4.46875,12.15625
10.15625,10.90625,12.0625,5.78125,4.25,11.84375
10.34375,10.4375,11.21875,6.125,4.34375,12.53125
9.65625,10.84375,12.03125,5.875,4.15625,12.4375
9.75,10.875,12.125,5.625,3.875,12.75
9.75,11.0625,11.375,5.96875,3.96875,12.875
9.65625,10.875,11.6875,6.0,4.25,12.53125
9.4375,11.03125,12.25,6.0,4.3125,11.96875
9.875,10.78125,12.40625,5.53125,4.09375,12.3125
9.75,11.09375,12.4375,5.40625,4.125,12.1875
9.65625,11.28125,11.65625,5.5625,4.15625,12.6875
9.90625,10.8125,11.90625,6.03125,4.3125,12.03125
9.4375,11.28125,12.125,5.75,3.90625,12.5
9.40625,10.9375,12.03125,5.96875,4.09375,12.5625
9.53125,10.625,12.21875,5.8125,4.09375,12.71875
9.625,10.96875,11.59375,5.8125,4.53125,12.46875
9.875,10.71875,11.71875,5.8125,4.625,12.25
9.6875,10.875,11.5,6.15625,4.3125,12.46875
9.28125,10.8125,12.40625,5.71875,4.375,12.40625
10.0625,10.75,11.9375,5.6875,4.5,12.0625
9.78125,11.03125,11.9375,5.84375,3.9375,12.46875
9.75,11.0,12.125,5.96875,4.21875,11.9375
10.1875,10.4375,12.21875,5.875,4.15625,12.125
9.6875,10.90625,12.03125,6.1875,4.25,11.9375
9.9375,10.84375,12.03125,5.71875,4.15625,12.3125
10.25,10.6875,11.96875,5.28125,3.96875,12.84375
10.125,10.8125,11.96875,5.78125,4.125,12.1875
9.75,10.75,11.625,5.96875,4.25,12.65625
9.71875,10.84375,12.0,6.0,4.09375,12.34375
9.71875,11.1875,11.53125,5.84375,4.34375,12.375
8.96875,11.5625,12.125,6.0,4.1875,12.15625
9.4375,11.15625,11.90625,5.34375,4.15625,13.0
9.84375,10.65625,12.09375,5.9375,4.3125,12.15625
9.71875,10.625,11.84375,6.21875,4.21875,12.375
9.65625,10.46875,12.0,6.21875,4.34375,12.3125
9.40625,10.90625,11.78125,5.6875,4.53125,12.6875
9.6875,10.625,12.125,5.9375,4.0,12.625
10.5625,10.4375,11.75,5.78125,4.53125,11.9375
9.65625,10.96875,12.0,6.03125,3.96875,12.375
9.75,10.90625,12.0,6.125,4.4375,11.78125
9.6875,11.03125,12.15625,5.71875,4.28125,12.125
10.09375,11.28125,12.0,5.78125,4.125,11.71875
9.90625,10.53125,12.21875,5.90625,4.09375,12.34375
9.71875,10.71875,11.65625,6.03125,4.25,12.625
9.6875,11.4375,12.0,5.5,4.40625,11.96875
9.53125,10.6875,11.8125,5.78125,4.5625,12.625
10.0,11.125,11.875,5.53125,4.21875,12.25
10.28125,10.78125,11.5625,5.875,4.03125,12.46875
9.4375,10.96875,11.1875,6.4375,4.5,12.46875
9.4375,10.84375,12.15625,6.0625,4.40625,12.09375
9.4375,11.59375,11.40625,5.53125,4.28125,12.75
9.28125,11.5625,11.9375,6.21875,4.0625,11.9375
