ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8
16.3125,3.15625,13.15625,13.3125,5.8125,20.71875,15.375,2.15625
16.1875,2.40625,13.96875,13.34375,6.4375,19.84375,15.46875,2.34375
16.375,2.65625,13.9375,13.75,6.28125,20.0625,14.75,2.1875
16.75,2.59375,13.5625,13.71875,5.875,20.25,15.21875,2.03125
16.5625,2.6875,14.53125,13.75,5.90625,20.0,14.8125,1.75
16.4375,2.3125,14.4375,13.28125,7.03125,19.875,14.5625,2.0625
16.34375,2.75,14.15625,13.0625,6.09375,20.53125,14.90625,2.15625
16.625,2.65625,13.0,13.8125,6.125,20.28125,14.90625,2.59375
16.5,2.53125,14.21875,13.15625,6.0625,20.25,15.03125,2.25
17.0,2.46875,13.40625,14.0625,5.9375,20.625,14.3125,2.1875
15.96875,2.375,14.5,13.15625,6.21875,20.28125,15.09375,2.40625
16.625,2.21875,14.3125,14.75,6.03125,19.375,14.71875,1.96875
16.71875,2.46875,13.5625,13.96875,6.15625,19.875,14.9375,2.3125
16.1875,2.59375,13.84375,14.40625,5.5625,20.375,15.0,2.03125
17.0,2.53125,13.53125,13.6875,6.25,20.0,15.03125,1.96875
16.0,2.75,13.59375,13.34375,6.59375,20.21875,15.15625,2.34375
17.125,2.6875,13.28125,13.71875,5.65625,20.59375,14.78125,2.15625
16.5,2.15625,13.75,13.78125,6.15625,20.21875,15.25,2.1875
16.53125,2.46875,14.03125,13.59375,6.375,19.875,14.65625,2.46875
16.28125,2.625,13.71875,12.90625,6.34375,20.4375,15.5,2.1875
16.625,2.375,13.875,13.625,5.875,20.5,14.9375,2.1875
16.15625,3.125,13.09375,13.125,6.375,20.53125,15.1875,2.40625
16.1875,2.71875,14.28125,13.1875,6.4375,20.28125,14.90625,2.0
16.625,2.15625,14.0625,14.1875,6.125,20.09375,14.6875,2.0625
16.90625,2.03125,14.0,13.5625,6.28125,20.125,15.125,1.96875
16.28125,2.6875,14.28125,13.78125,6.5625,19.09375,15.25,2.0625
16.9375,2.5625,13.3125,14.1875,5.875,20.15625,14.78125,2.1875
16.40625,3.125,13.46875,13.5625,5.90625,19.96875,15.4375,2.125
16.625,2.53125,14.09375,13.5,6.625,20.15625,14.53125,1.9375
15.8125,2.625,14.0,13.875,6.0,20.1875,15.21875,2.28125
16.03125,2.1875,14.09375,14.84375,6.34375,19.21875,14.78125,2.5
16.5625,2.96875,13.15625,13.03125,6.3125,20.6875,14.84375,2.4375
16.21875,2.125,14.3125,15.03125,5.96875,20.40625,14.3125,1.625
16.8125,2.6875,14.53125,13.0625,6.3125,20.03125,14.40625,2.15625
16.28125,2.46875,14.375,12.1875,6.6875,20.75,15.09375,2.15625
16.53125,2.34375,13.8125,13.28125,6.59375,20.09375,14.90625,2.4375
17.0,2.21875,13.40625,14.15625,5.71875,20.6875,15.0,1.8125
16.90625,2.40625,14.25,12.9375,6.3125,20.0,14.8125,2.375
16.40625,2.34375,14.25,13.46875,6.5,20.4375,14.75,1.84375
16.1875,2.78125,14.34375,13.28125,6.3125,19.71875,15.21875,2.15625
16.6875,2.9375,12.875,13.96875,6.25,19.625,15.0625,2.59375
15.71875,2.5,14.4375,13.4375,6.46875,19.96875,15.25,2.21875
16.3125,2.46875,13.625,13.71875,6.59375,19.875,15.09375,2.3125
16.28125,2.75,13.96875,13.875,5.84375,20.03125,14.71875,2.53125
16.1875,2.09375,15.0,13.59375,6.53125,19.34375,15.34375,1.90625
16.34375,2.0625,14.4375,14.15625,5.71875,19.875,15.0625,2.34375
16.8125,2.75,13.40625,14.0,6.59375,19.46875,14.5625,2.40625
16.71875,2.53125,14.03125,13.40625,6.15625,20.5625,14.4375,2.15625
16.84375,2.4375,14.0,13.4375,6.25,20.15625,14.59375,2.28125
16.6875,2.40625,14.28125,13.3125,6.375,20.4375,14.59375,1.90625
16.75,2.625,13.15625,13.34375,6.40625,19.96875,15.34375,2.40625
17.15625,2.59375,13.8125,13.5,5.96875,20.1875,14.65625,2.125
17.1875,2.625,13.59375,13.90625,5.65625,20.75,14.21875,2.0625
16.1875,2.3125,14.1875,13.625,5.96875,20.375,15.28125,2.0625
15.84375,2.5625,14.5,14.0625,5.84375,19.96875,15.03125,2.1875
16.03125,2.65625,13.75,14.4375,5.9375,19.90625,15.09375,2.1875
16.375,2.96875,13.75,13.5,6.1875,20.78125,14.3125,2.125
16.125,2.8125,13.9375,13.21875,6.21875,20.3125,15.46875,1.90625
16.5,2.65625,14.125,13.40625,6.3125,19.875,15.125,2.0
16.65625,2.9375,13.8125,13.90625,5.96875,20.46875,14.125,2.125
16.09375,2.53125,13.78125,14.75,6.3125,19.1875,14.71875,2.625
