min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
50.0,67.4375,84.0,4.365394785068929,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
44.0,68.03125,89.0,4.421247771941125,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,66.25,82.0,4.325852717738599,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
45.0,66.90625,92.0,4.446926149073988,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,66.9375,87.0,4.35282390890643,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,67.875,90.0,4.375318018719554,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,65.09375,94.0,4.403616322670132,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,64.84375,91.0,4.384004881139845,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,65.1875,80.0,4.396346560213715,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,67.0,84.0,4.345113255083561,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,66.1875,92.0,4.372873920015991,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
35.0,65.71875,83.0,4.3565563769079745,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,68.09375,84.0,4.3220297852531075,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,64.78125,87.0,4.411591398064047,29,29,0.90625,0.0,0.90625,0.01647727272727273,0.0,0.01647727272727273,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,64.40625,75.0,4.396135924849659,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,68.9375,97.0,4.417632179800421,27,27,0.84375,0.0,0.84375,0.015340909090909093,0.0,0.015340909090909093,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,68.1875,97.0,4.392965605016798,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.4375,79.0,4.368371920660138,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,66.15625,85.0,4.400246928911656,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,65.0,77.0,4.360727350693196,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
47.0,64.1875,89.0,4.339480377733707,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,67.21875,84.0,4.299899140838534,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,65.96875,83.0,4.364034129772335,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,68.15625,88.0,4.378545965068042,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.3125,83.0,4.381314222700894,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,64.71875,82.0,4.472080253995955,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,66.5625,91.0,4.377243723254651,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,65.78125,79.0,4.4071815009228885,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
46.0,64.5,78.0,4.3709795800969005,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.9375,86.0,4.421377673279494,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,68.875,88.0,4.346938710659742,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.75,99.0,4.364731083624065,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,68.25,95.0,4.376047749072313,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
57.0,69.0625,87.0,4.398107867222279,28,28,0.875,0.0,0.875,0.01590909090909091,0.0,0.01590909090909091,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
47.0,65.625,83.0,4.362795738037676,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.34375,91.0,4.450193974655122,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
46.0,65.90625,91.0,4.356358841061592,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,66.8125,85.0,4.398471523076296,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,67.53125,95.0,4.40624623792246,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,66.875,89.0,4.374437426682562,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
